[2025-11-20 17:26:55] minutos=60; filiais=all; count=0
[2025-11-20 17:26:58] minutos=60; filiais=all; count=0
[2025-11-20 17:27:01] minutos=60; filiais=all; count=0
[2025-11-20 17:27:04] minutos=60; filiais=all; count=0
[2025-11-20 17:27:07] minutos=60; filiais=all; count=0
[2025-11-20 17:27:10] minutos=60; filiais=all; count=0
[2025-11-20 17:27:13] minutos=60; filiais=all; count=0
[2025-11-20 17:27:16] minutos=60; filiais=all; count=0
[2025-11-20 17:27:19] minutos=60; filiais=all; count=0
[2025-11-20 17:27:22] minutos=60; filiais=all; count=0
[2025-11-20 17:27:25] minutos=60; filiais=all; count=0
[2025-11-20 17:27:28] minutos=60; filiais=all; count=0
[2025-11-20 17:27:31] minutos=60; filiais=all; count=0
[2025-11-20 17:27:34] minutos=60; filiais=all; count=0
[2025-11-20 17:27:37] minutos=60; filiais=all; count=0
[2025-11-20 17:27:40] minutos=60; filiais=all; count=0
[2025-11-20 17:27:43] minutos=60; filiais=all; count=0
[2025-11-20 17:27:46] minutos=60; filiais=all; count=0
[2025-11-20 17:27:49] minutos=60; filiais=all; count=0
[2025-11-20 17:27:52] minutos=60; filiais=all; count=0
[2025-11-20 17:27:55] minutos=60; filiais=all; count=0
[2025-11-20 17:27:58] minutos=60; filiais=all; count=0
[2025-11-20 17:28:01] minutos=60; filiais=all; count=0
[2025-11-20 17:28:04] minutos=60; filiais=all; count=0
[2025-11-20 17:28:07] minutos=60; filiais=all; count=0
[2025-11-20 17:28:10] minutos=60; filiais=all; count=0
[2025-11-20 17:28:13] minutos=60; filiais=all; count=0
[2025-11-20 17:28:16] minutos=60; filiais=all; count=0
[2025-11-20 17:28:19] minutos=60; filiais=all; count=0
[2025-11-20 17:28:22] minutos=60; filiais=all; count=0
[2025-11-20 17:28:25] minutos=60; filiais=all; count=0
[2025-11-20 17:28:28] minutos=60; filiais=all; count=0
[2025-11-20 17:28:31] minutos=60; filiais=all; count=0
[2025-11-20 17:28:34] minutos=60; filiais=all; count=0
[2025-11-20 17:28:37] minutos=60; filiais=all; count=0
[2025-11-20 17:28:40] minutos=60; filiais=all; count=0
